d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
180,250,90.0,746.0,1460,137.0,1500,2200,14.0,32936/DF,180,90,10,7.5,2.0,0.6,194,225,238,8,2.0,0.6,0.48,1.4,2.1,1.4
180,280,128.0,1360.0,2320,220.0,1400,2200,29.0,32036 X/DF,180,128,15,10.0,2.5,1.0,200,247,267,10,2.5,1.0,0.43,1.6,2.3,1.6
180,320,114.0,1079.0,1630,160.0,1200,2000,35.5,30236/DF,180,104,15,10.0,4.0,1.5,212,278,303,8,4.0,1.5,0.46,1.5,2.2,1.4
180,320,182.0,1833.0,3250,300.0,1100,1900,61.0,32236/DF,180,172,16,12.0,4.0,1.5,205,267,303,10,4.0,1.5,0.46,1.5,2.2,1.4
190,260,90.0,760.0,1530,143.0,1400,2200,14.5,32938/DF,190,90,10,7.5,2.0,0.6,205,235,248,8,2.0,0.6,0.48,1.4,2.1,1.4
190,290,128.0,1381.0,2400,224.0,1300,2000,30.5,32038 X/DF,190,128,15,10.0,2.5,1.0,210,257,276,10,2.5,1.0,0.44,1.5,2.3,1.4
190,290,128.0,1381.0,2400,224.0,1300,2000,30.5,32038 X/L4BDF,190,128,15,10.0,2.5,1.0,210,257,276,10,2.5,1.0,0.44,1.5,2.3,1.4
190,340,120.0,1308.0,2000,190.0,1100,1800,42.5,30238/DF,190,110,16,10.0,4.0,1.5,225,298,323,8,4.0,1.5,0.43,1.6,2.3,1.6
200,310,140.0,1372.0,2750,255.0,1100,1900,39.0,32040 X/DF,200,140,15,10.0,2.5,1.0,222,273,296,11,2.5,1.0,0.43,1.6,2.3,1.6
200,360,128.0,1448.0,2240,212.0,1000,1700,52.0,30240/DF,200,116,19,12.0,4.0,1.5,237,315,343,9,4.0,1.5,0.43,1.6,2.3,1.6
200,360,208.0,2229.0,4000,360.0,1000,1700,88.0,32240/DF,200,196,15,10.0,4.0,1.0,231,302,343,11,4.0,1.0,0.4,1.7,2.5,1.6
220,300,102.0,1030.0,2000,183.0,1200,1900,21.0,32944/DF,220,102,10,7.5,2.5,1.0,235,275,286,9,2.5,1.0,0.43,1.6,2.3,1.6
220,340,152.0,1637.0,3350,300.0,1000,1700,51.0,32044 X/DF,220,152,20,15.0,3.0,1.0,244,300,325,12,3.0,1.0,0.43,1.6,2.3,1.6
220,400,144.0,1816.0,2800,255.0,950,1600,72.0,30244/DF,220,130,15,10.0,4.0,1.5,259,348,382,10,4.0,1.5,0.43,1.6,2.3,1.6
220,400,228.0,2949.0,5400,465.0,900,1500,124.0,32244/DF,220,216,25,18.0,4.0,1.5,253,334,382,13,4.0,1.5,0.43,1.6,2.3,1.6
240,320,102.0,1069.0,2160,193.0,1200,1700,22.5,32948/DF,240,102,12,7.5,2.5,1.0,255,294,306,9,2.5,1.0,0.46,1.5,2.2,1.4
240,360,152.0,1695.0,3550,315.0,950,1600,54.5,32048 X/DF,240,152,20,15.0,3.0,1.0,262,318,345,12,3.0,1.0,0.46,1.5,2.2,1.4
240,440,254.0,3300.0,6550,550.0,1000,1500,172.0,32248/DF,240,240,20,16.0,4.0,1.5,276,365,420,7,3.0,1.5,0.43,1.6,2.3,1.6
260,400,174.0,2127.0,4400,380.0,850,1400,79.0,32052 X/DF,260,174,25,15.0,4.0,1.5,288,352,382,14,4.0,1.5,0.43,1.6,2.3,1.6
260,480,274.0,4013.0,7350,600.0,750,1200,213.0,32252/DF,260,260,35,16.0,5.0,1.5,303,401,458,10,1.5,1.5,0.43,1.6,2.3,1.6
280,420,174.0,2208.0,4750,400.0,800,1300,84.0,32056 X/DF,280,174,20,15.0,4.0,1.5,306,370,402,14,4.0,1.5,0.46,1.5,2.2,1.4
280,500,274.0,2410.0,7800,620.0,700,1200,226.0,32256/DF,280,260,20,16.0,5.0,1.5,319,418,478,10,4.0,1.5,0.44,1.5,2.3,1.4
300,460,200.0,2818.0,6000,490.0,750,1200,119.0,32060 X/DF,300,200,20,12.0,4.0,1.5,330,404,440,10,1.5,1.5,0.43,1.6,2.3,1.6
300,540,280.0,2935.0,9500,735.0,630,1100,290.0,32260/DF,300,298,36,18.0,5.0,1.5,343,453,518,10,4.0,1.5,0.43,1.6,2.3,1.6
320,440,152.0,1982.0,4650,390.0,750,1200,69.0,32964/DF,320,152,17,15.0,3.0,1.0,343,402,424,9,1.0,1.0,0.43,1.6,2.3,1.6
320,480,200.0,2852.0,6200,500.0,700,1100,104.0,32064 X/DF,320,200,20,16.0,4.0,1.5,350,424,460,15,1.5,1.5,0.46,1.5,2.2,1.4
340,460,152.0,1995.0,4800,390.0,700,1200,73.0,32968/DF,340,152,18,16.0,3.0,1.0,361,421,444,10,1.0,1.0,0.44,1.5,2.3,1.4
360,480,152.0,2043.0,5100,405.0,670,1100,302.0,32972/DF,360,152,22,16.0,3.0,1.0,380,439,464,10,2.5,1.0,0.46,1.5,2.2,1.4
